Join_Count,TARGET_FID,objectid_1,dist_numc,Shape__Are,Shape__Len,complaint_,date_recei,district_c,general_ca,summary,incident_d,incident_t,objectid_c,my_column,complainan,complain_1,complain_2,objectid_d,complain_3,complain_4,complain_5,complaint1,date_rec_1,summary_Co,Shape_Leng,Shape_Area
0,0,0,24,24312020.3398,23679.8913393,,,0,,,,,0,0,,,0,0,,0,,,,,23679.8913429,24312020.157
0,1,0,14,51452723.6758,37264.0076081,,,0,,,,,0,0,,,0,0,,0,,,,,37264.0075968,51452723.655
249,2,0,15,48860393.8555,35748.6436666,21-0005,2021-01-08T05:00:00Z,15,LACK OF SERVICE,"Beginning September of 2020, while in the confines of the 15th District, the complainant did not receive proper service from a 15th District Officer. The officer has refused to take their police reports of a neighbor dispute. The complainant states that",NA,NA,6,1500,Male,Latino,51,7,249,249,249,249,249,249,35748.6436201,48860393.7821
217,3,0,19,28236487.2422,28526.6062015,21-0008,2021-01-11T05:00:00Z,19,DEPARTMENTAL VIOLATIONS,"On 1-7-21 at 12:04 AM, the complainant’s vehicle was issued a ticket for parking in a handicap spot. The complainant states that the officer, who issued the ticket, deliberately disregarded the handicap card that was clearly visible in the window. T",2021-01-07,00:04:00,9,1900,Female,Black,49,10,217,217,217,217,217,217,28526.6066108,28236487.2994
64,4,0,01,34168000.2617,32647.7776358,21-0101,2021-03-04T05:00:00Z,1,LACK OF SERVICE,"The complainants state they did not receive proper service from a sergeant and an officer assigned to the 1st District, while in the confines of the 1st District. On 1-29-21, they went to a police facility to report a fraud. They supplied all the paperwo",2021-01-29,NA,105,100,Female,Black,0,110,64,64,64,64,64,64,32647.7776063,34168000.3132
54,5,0,05,33822411.2266,28776.7998208,21-0073,2021-02-16T05:00:00Z,5,CRIMINAL ALLEGATION,"According to the complainant, on 2-2-21 at 10:39 PM, an off duty officer struck a building and left the scene of the accident. The complainant went to the district the next day to follow-up and was informed that it was a civil matter. The complainant kno",2021-02-02,22:39:00,77,500,Male,NA,0,81,54,54,54,54,54,54,28776.7997786,33822411.2908
173,6,0,39,25034342.5078,23171.6885495,21-0034,2021-01-27T05:00:00Z,39,DOMESTIC,"The complainant is alleging a domestic assault by an off-duty, 39th District Officer, while in the confines of the 14th District. On 1-24-21 at 6:00 AM, they went to a residence to meet with the officer, as the officer requested. When they arrived, there",2021-01-24,06:00:00,35,3900,Female,Black,35,37,173,173,173,173,173,173,23171.688402,25034342.3778
376,7,0,35,24507767.6602,20606.0538577,21-0015,2021-01-14T05:00:00Z,35,CIVIL RIGHTS COMPLAINT,"According to the complainants, on 1-8-21 at 10:53 AM, they were discriminated against, did not receive proper service and departmental policies were violated by an officer while in the confines of the 35th District. The complainants were involved in an a",2021-01-08,10:53:00,16,3500,Female,Black,30,17,376,376,376,376,376,376,20606.0538865,24507767.6145
139,8,0,08,75048813.3516,40794.6844742,25-0680,2025-12-30T05:00:00Z,8,CONFIDENTIAL INVESTIGATION*,"According to the complainant, between April through October of 2025, while in the confines of the 8th District, they alleged a criminal allegation against officers assigned to the Personnel Unit. They alleged embezzlement, theft, receiving stolen propert",NA,NA,1,800,Male,White,65,1,139,139,139,139,139,139,40794.6840429,75048813.4514
148,9,0,02,30530520.1211,25319.4666863,21-0009,2021-01-12T05:00:00Z,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-5-21, a police vehicle drove up on the lawn and removed a fence.",2021-01-05,NA,10,200,NA,NA,0,11,148,148,148,148,148,148,25319.466809,30530520.2658
427,10,0,25,18758570.2188,19890.7846284,21-0003,2021-01-08T05:00:00Z,25,LACK OF SERVICE,"On 1-4-21 at 1:10 PM, the complainant was involved in an auto accident with a vehicle that was doubled parked. The complainant asked officers to ticket the other vehicle, but was told it was at the discretion of the officer. The complainant alleged they",2021-01-04,13:10:00,4,2500,Male,Black,59,5,427,427,427,427,427,427,19890.784686,18758570.2731
