UNIQUE_BLKGRP_ID,X,Y,DIST_NUM,PSA_NUM,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,2020CenPOP
10100010,-75.150307,39.951763,6,62,42,101,101,1,26
10100020,-75.150025,39.949984,6,62,42,101,101,2,0
10100030,-75.147863,39.951459,6,62,42,101,101,3,0
10100040,-75.145018,39.950536,6,62,42,101,101,4,1340
10100050,-75.14282,39.950361,6,62,42,101,101,5,963
10200010,-75.144559,39.955678,6,62,42,101,102,1,1374
10200020,-75.148832,39.954957,6,62,42,101,102,2,17
10200030,-75.143973,39.953215,6,62,42,101,102,3,888
10200040,-75.142405,39.952559,6,62,42,101,102,4,577
10200050,-75.145804,39.953508,6,62,42,101,102,5,655
20000010,-75.156289,39.955295,6,62,42,101,200,1,2213
20000020,-75.153127,39.954823,6,62,42,101,200,2,586
20000030,-75.159929,39.956344,6,62,42,101,200,3,534
20000040,-75.16035,39.954997,6,62,42,101,200,4,34
30000010,-75.174236,39.957242,9,92,42,101,300,1,1344
30000020,-75.176701,39.956567,9,92,42,101,300,2,222
30000030,-75.165571,39.956969,9,92,42,101,300,3,1096
30000040,-75.170082,39.956313,9,92,42,101,300,4,751
30000050,-75.177325,39.958504,9,92,42,101,300,5,1088
40100010,-75.175984,39.954923,9,92,42,101,401,1,1314
40100020,-75.174289,39.9529,9,92,42,101,401,2,760
40100030,-75.176748,39.953021,9,92,42,101,401,3,1049
40300010,-75.166114,39.952416,9,92,42,101,403,1,20
40300020,-75.166257,39.952457,9,92,42,101,403,2,1119
40400010,-75.172171,39.952411,9,92,42,101,404,1,1062
40400020,-75.172171,39.954524,9,92,42,101,404,2,2036
40400030,-75.170515,39.954511,9,92,42,101,404,3,724
50000010,-75.16083,39.951582,6,63,42,101,500,1,808
50000020,-75.163881,39.952541,9,92,42,101,500,2,33
50000030,-75.157874,39.95105,6,62,42,101,500,3,1066
50000040,-75.153349,39.952697,6,62,42,101,500,4,1707
60000010,-75.161405,39.949817,6,63,42,101,600,1,1161
60000020,-75.154463,39.949161,6,63,42,101,600,2,1156
70100010,-75.170714,39.95087,9,91,42,101,701,1,679
70100020,-75.172843,39.95129,9,91,42,101,701,2,849
70100030,-75.166547,39.950384,9,91,42,101,701,3,1194
70200010,-75.175338,39.951245,9,91,42,101,702,1,699
70200020,-75.178269,39.951896,9,91,42,101,702,2,1313
80100010,-75.178149,39.949903,9,91,42,101,801,1,515
80100020,-75.179976,39.950001,9,91,42,101,801,2,1233
80300010,-75.176734,39.949851,9,91,42,101,803,1,868
80300020,-75.17501,39.949739,9,91,42,101,803,2,1314
80300030,-75.17231,39.948387,9,91,42,101,803,3,917
80300040,-75.173448,39.949701,9,91,42,101,803,4,1364
80500010,-75.170061,39.949308,9,91,42,101,805,1,1912
80500020,-75.168554,39.948833,9,91,42,101,805,2,675
80600010,-75.165473,39.947886,9,91,42,101,806,1,1483
80600020,-75.166997,39.948294,9,91,42,101,806,2,1219
90100010,-75.161291,39.947798,6,63,42,101,901,1,1243
90100020,-75.163419,39.947807,6,63,42,101,901,2,1166
90200010,-75.15478,39.947173,6,63,42,101,902,1,1459
90200020,-75.158486,39.947416,6,63,42,101,902,2,1383
100100010,-75.151813,39.943641,6,63,42,101,1001,1,1187
100100020,-75.150142,39.948368,6,63,42,101,1001,2,0
100100030,-75.151435,39.946075,6,63,42,101,1001,3,1806
100200010,-75.14578,39.945972,6,63,42,101,1002,1,2194
100200020,-75.147543,39.944053,6,63,42,101,1002,2,722
100200030,-75.144768,39.947946,6,63,42,101,1002,3,245
100200040,-75.146529,39.9424,6,63,42,101,1002,4,1490
110100010,-75.164228,39.945821,6,63,42,101,1101,1,1188
110100020,-75.162851,39.943857,3,31,42,101,1101,2,1181
110100030,-75.160905,39.945396,6,63,42,101,1101,3,1129
110100040,-75.162772,39.945863,6,63,42,101,1101,4,799
110200010,-75.15816,39.944988,6,63,42,101,1102,1,1729
110200020,-75.155031,39.943961,6,63,42,101,1102,2,518
110200030,-75.155439,39.942931,3,31,42,101,1102,3,553
120100010,-75.18207,39.94746,9,91,42,101,1201,1,869
120100020,-75.177386,39.947854,9,91,42,101,1201,2,1101
120100030,-75.176687,39.946016,17,171,42,101,1201,3,1020
120100040,-75.180008,39.946503,17,91,42,101,1201,4,963
120300010,-75.173071,39.94564,9,91,42,101,1203,1,995
120300020,-75.172788,39.947294,9,91,42,101,1203,2,832
120400010,-75.168431,39.946678,9,91,42,101,1204,1,1808
120400020,-75.169698,39.945319,9,91,42,101,1204,2,1237
120400030,-75.166681,39.94492,9,91,42,101,1204,3,969
130100010,-75.179655,39.940866,17,171,42,101,1301,1,877
130100020,-75.183712,39.941186,17,171,42,101,1301,2,794
130200010,-75.178839,39.9443,17,171,42,101,1302,1,810
130200020,-75.179145,39.942603,17,171,42,101,1302,2,963
130200030,-75.181959,39.942914,17,171,42,101,1302,3,882
130200040,-75.184384,39.944251,17,171,42,101,1302,4,2447
140000010,-75.173649,39.943103,17,171,42,101,1400,1,1672
140000020,-75.176298,39.943667,17,171,42,101,1400,2,849
140000030,-75.168842,39.942644,17,171,42,101,1400,3,2215
150000010,-75.15451,39.941308,3,31,42,101,1500,1,1120
150000020,-75.160926,39.942165,3,31,42,101,1500,2,2218
160000010,-75.150037,39.940484,3,31,42,101,1600,1,1239
160000020,-75.146159,39.939919,3,31,42,101,1600,2,1426
170000010,-75.146618,39.937337,3,31,42,101,1700,1,1342
170000020,-75.150793,39.938347,3,31,42,101,1700,2,1655
180000010,-75.156549,39.939656,3,31,42,101,1800,1,2283
180000020,-75.16362,39.940638,3,31,42,101,1800,2,1193
190000010,-75.172288,39.940791,17,171,42,101,1900,1,1101
190000020,-75.175104,39.940194,17,171,42,101,1900,2,1758
190000030,-75.1685,39.939579,17,171,42,101,1900,3,1224
200000010,-75.182338,39.93758,17,173,42,101,2000,1,1543
200000020,-75.186697,39.938139,17,172,42,101,2000,2,994
210000010,-75.179059,39.937037,17,173,42,101,2100,1,812
210000020,-75.175932,39.936772,17,173,42,101,2100,2,1650
220000010,-75.168501,39.937057,17,171,42,101,2200,1,848
220000020,-75.170002,39.935216,17,173,42,101,2200,2,700
220000030,-75.171977,39.936512,17,171,42,101,2200,3,1202
230000010,-75.163257,39.935582,3,33,42,101,2300,1,1140
230000020,-75.162654,39.934471,3,33,42,101,2300,2,1903
240000010,-75.154886,39.937125,3,31,42,101,2400,1,811
240000020,-75.156056,39.933981,3,33,42,101,2400,2,1441
240000030,-75.159252,39.93769,3,31,42,101,2400,3,1449
240000040,-75.156752,39.936062,3,31,42,101,2400,4,755
240000050,-75.163112,39.937956,3,31,42,101,2400,5,1168
250000010,-75.14872,39.934909,3,31,42,101,2500,1,1347
250000020,-75.147089,39.933032,3,32,42,101,2500,2,934
250000030,-75.151802,39.932724,3,32,42,101,2500,3,785
250000040,-75.152253,39.935977,3,31,42,101,2500,4,1327
270100010,-75.154116,39.926837,3,32,42,101,2701,1,2217
270100020,-75.153544,39.930216,3,32,42,101,2701,2,1983
270200010,-75.149839,39.925993,3,32,42,101,2702,1,2223
270200020,-75.149371,39.929831,3,32,42,101,2702,2,2045
280100010,-75.156353,39.930828,3,33,42,101,2801,1,2119
280100020,-75.157238,39.927292,3,33,42,101,2801,2,2245
280200010,-75.160405,39.927611,3,33,42,101,2802,1,1867
280200020,-75.163933,39.927917,3,33,42,101,2802,2,1639
280200030,-75.159794,39.930919,3,33,42,101,2802,3,1869
290000010,-75.166951,39.928105,3,33,42,101,2900,1,1501
290000020,-75.167254,39.930336,3,33,42,101,2900,2,829
290000030,-75.164607,39.931892,3,33,42,101,2900,3,2021
300100010,-75.16992,39.930051,17,173,42,101,3001,1,707
300100020,-75.17028,39.927993,1,11,42,101,3001,2,794
300100030,-75.172176,39.928491,17,173,42,101,3001,3,998
300100040,-75.174223,39.928765,17,173,42,101,3001,4,1073
300100050,-75.172527,39.930453,17,173,42,101,3001,5,616
300200010,-75.169461,39.933104,17,173,42,101,3002,1,928
300200020,-75.17158,39.933424,17,173,42,101,3002,2,836
300200030,-75.173571,39.932962,17,173,42,101,3002,3,855
300200040,-75.17066,39.931396,17,173,42,101,3002,4,910
310000010,-75.176577,39.933933,17,173,42,101,3100,1,1382
310000020,-75.175532,39.931377,17,173,42,101,3100,2,592
310000030,-75.176653,39.92966,17,173,42,101,3100,3,595
310000040,-75.179793,39.930327,17,173,42,101,3100,4,887
310000050,-75.178035,39.931999,17,173,42,101,3100,5,960
310000060,-75.18028,39.933435,17,173,42,101,3100,6,673
320000010,-75.182305,39.934602,17,173,42,101,3200,1,795
320000020,-75.182953,39.932953,17,173,42,101,3200,2,555
320000030,-75.183576,39.9312,17,173,42,101,3200,3,967
320000040,-75.186062,39.93447,17,173,42,101,3200,4,885
320000050,-75.185871,39.931549,17,173,42,101,3200,5,475
320000060,-75.188762,39.933874,17,172,42,101,3200,6,834
330000010,-75.190742,39.933417,17,172,42,101,3300,1,1776
330000020,-75.195838,39.937139,17,172,42,101,3300,2,664
330000030,-75.191444,39.936619,17,172,42,101,3300,3,738
330000040,-75.195217,39.938119,17,172,42,101,3300,4,1169
330000050,-75.192693,39.934166,17,172,42,101,3300,5,998
330000060,-75.195958,39.935011,17,172,42,101,3300,6,962
360000010,-75.190317,39.928914,1,11,42,101,3600,1,1899
360000020,-75.196617,39.930795,17,172,42,101,3600,2,1128
360000030,-75.190894,39.92477,1,11,42,101,3600,3,2204
360000040,-75.194698,39.931681,17,172,42,101,3600,4,1340
370100010,-75.177008,39.928029,1,11,42,101,3701,1,1120
370100020,-75.177421,39.926249,1,11,42,101,3701,2,1017
370100030,-75.179852,39.927516,1,11,42,101,3701,3,1177
370100040,-75.184416,39.92779,1,11,42,101,3701,4,1281
370100050,-75.182129,39.927862,1,11,42,101,3701,5,1511
370200010,-75.179897,39.924551,1,11,42,101,3702,1,1558
370200020,-75.183471,39.924613,1,11,42,101,3702,2,1472
370200030,-75.185613,39.924069,1,11,42,101,3702,3,648
380000010,-75.178711,39.920647,1,11,42,101,3800,1,967
380000020,-75.178325,39.922958,1,11,42,101,3800,2,882
380000030,-75.180962,39.921682,1,11,42,101,3800,3,954
380000040,-75.185832,39.916498,1,12,42,101,3800,4,17
380000050,-75.180252,39.917978,1,11,42,101,3800,5,1000
390100010,-75.171565,39.925056,1,11,42,101,3901,1,1449
390100020,-75.171882,39.922015,1,11,42,101,3901,2,1283
390100030,-75.175031,39.922012,1,11,42,101,3901,3,1854
390100040,-75.174548,39.925662,1,11,42,101,3901,4,1633
390200010,-75.172476,39.919528,1,11,42,101,3902,1,1416
390200020,-75.175353,39.915097,1,12,42,101,3902,2,2523
390200030,-75.174973,39.918251,1,11,42,101,3902,3,1758
400100010,-75.164159,39.924966,3,33,42,101,4001,1,1329
400100020,-75.16464,39.922392,3,33,42,101,4001,2,1274
400100030,-75.167657,39.922582,3,33,42,101,4001,3,918
400100040,-75.167028,39.925191,3,33,42,101,4001,4,956
400200010,-75.165232,39.919929,3,33,42,101,4002,1,1384
400200020,-75.165753,39.917453,3,33,42,101,4002,2,1665
400200030,-75.169088,39.917879,3,33,42,101,4002,3,1242
400200040,-75.168296,39.92011,3,33,42,101,4002,4,1068
410100010,-75.161851,39.921467,3,33,42,101,4101,1,835
410100020,-75.16136,39.922647,3,33,42,101,4101,2,937
410100030,-75.158608,39.924203,3,33,42,101,4101,3,3269
410100040,-75.157786,39.920924,3,33,42,101,4101,4,1142
410100050,-75.157656,39.922136,3,33,42,101,4101,5,983
410300010,-75.162009,39.919515,3,33,42,101,4103,1,1705
410300020,-75.158605,39.918979,3,33,42,101,4103,2,2568
410400010,-75.162924,39.916999,3,33,42,101,4104,1,1465
410400020,-75.158974,39.916561,3,33,42,101,4104,2,3096
420100010,-75.148877,39.922918,3,32,42,101,4201,1,711
420100020,-75.152922,39.920837,3,32,42,101,4201,2,2100
420100030,-75.149328,39.920424,3,32,42,101,4201,3,786
420100040,-75.152472,39.923347,3,32,42,101,4201,4,1690
420200010,-75.149711,39.917605,3,32,42,101,4202,1,1514
420200020,-75.152763,39.915878,3,32,42,101,4202,2,1465
420200030,-75.153492,39.91781,3,32,42,101,4202,3,1413
420200040,-75.153753,39.919116,3,32,42,101,4202,4,869
540000010,-75.252098,39.892794,12,121,42,101,5400,1,1191
550000010,-75.247294,39.909658,12,121,42,101,5500,1,1955
550000020,-75.244973,39.909124,12,121,42,101,5500,2,1021
550000030,-75.251051,39.901419,12,121,42,101,5500,3,917
