complaint_id,date_received,district_column,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid,my_column,complaint_id_1,complainant_sex,complainant_race,complainant_age,objectid_1
25-0680,12/30/2025 5:00:00,8,CONFIDENTIAL INVESTIGATION*,"According to the complainant, between April through October of 2025, while in the confines of the 8th District, they alleged a criminal allegation against officers assigned to the Personnel Unit. They alleged embezzlement, theft, receiving stolen property and conspiracy by officers.",NA,NA,1,0800,25-0680,Male,White,65,1
21-0001,1/7/2021 5:00:00,6,*VERBAL ABUSE,"On 1-4-21 at 11:00 AM, they parked their vehicle and as one of the complainants was opening the door for their spouse, an unmarked police car sped up past them towards a red light. The complainant said under their breath, âAre you seriousâ? The officer stopped the car, got out and began shouting at them but had to get back into the car because the car had been left in reverse; it began rolling. The complainants state that the officer again exited the vehicle and continued to shout at them for being disrespectful. The complainants believe that the officer was disproportionally angry and kept trying to escalate the situation, when there was no need.",2021-01-04,11:00:00,2,0600,21-0001,Male,White,,2
21-0002,1/7/2021 5:00:00,12,PHYSICAL ABUSE,"According to the complainant, on 1-4-21 at 9:00 PM, while in the confines of the 12th District, they called police because of a disturbance they were having with their spouse. The complainant states that when the responding officers noticed that their spouse was a retired police officer, they immediately took the spouseâs side. The complainant also states that when they attempted to go upstairs, an officer pushed them into the banister and wall of their home.",2021-01-04,21:00:00,3,1200,21-0002,Female,Black,52,4
21-0003,1/8/2021 5:00:00,25,LACK OF SERVICE,"On 1-4-21 at 1:10 PM, the complainant was involved in an auto accident with a vehicle that was doubled parked. The complainant asked officers to ticket the other vehicle, but was told it was at the discretion of the officer. The complainant alleged they were falsely arrested by police for violating the Act 235 Law, but that they were in compliance with the law. After about twenty minutes, the officers realized the compliant possessed a non-lethal gun, but still detained them for further investigation. The complainant reported the officers did not understand the law, violated the complainantâs civil rights, placed handcuffs on the complainant that were too tight, causing pain to the complainantâs wrists.",2021-01-04,13:10:00,4,2500,21-0003,Male,Black,59,5
21-0004,1/20/2021 5:00:00,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on unknown dates and times, members of the department have committed crimes and violated numerous departmental policies which has forced the complainant to homelessness.",NA,NA,5,0600,21-0004,Male,Black,62,6
21-0005,1/8/2021 5:00:00,15,LACK OF SERVICE,"Beginning September of 2020, while in the confines of the 15th District, the complainant did not receive proper service from a 15th District Officer. The officer has refused to take their police reports of a neighbor dispute. The complainant states that they have sent numerous emails to the officer, however, they have failed to respond. The complainant states that they have left numerous telephone messages as well. The officer contacted the complainant last week and told them that they have been tied up with other assignments during the holiday. The officer stated that they would visit the neighbor the following day, but did not. Instead, the officer arrived at the complainantâs residence unannounced.",NA,NA,6,1500,21-0005,Male,Latino,51,7
21-0006,1/7/2021 5:00:00,24,DEPARTMENTAL VIOLATIONS,"On 9-1-20, while in the confines of the 24th District, Narcotics Field Unit Officers violated departmental policies. The officers lied on a police report, planted drugs and money on them and violated their constitutional rights by going through their cellphone without a search warrant. On 9-2-20, the officers arrested a person. The complainant states that the officers told that person that the complainant told them that there was drugs and money inside of the house. The complainant states that the officers have now put their life in danger.",2020-09-01,NA,7,2400,21-0006,Male,Latino,43,8
21-0007,1/11/2021 5:00:00,9,LACK OF SERVICE,"According to the complainant, on 1-6-21 at 10:30 PM, the complainant called 911 in reference to a noisy truck. The 911 dispatcher collected and confirmed the information provided by the complainant but then said that they could not understand the complainantâs English. The complainant was transferred to a translator who understood the complainantâs English, but forced the complainant to speak in French. When the complainant continued to speak in English, the dispatcher concluded that the complainant did not need any help and disconnected the call. The complainant believes that this was done in an effort to humiliate him.",2021-01-06,22:30:00,8,0900,21-0007,,,,9
21-0008,1/11/2021 5:00:00,19,DEPARTMENTAL VIOLATIONS,"On 1-7-21 at 12:04 AM, the complainantâs vehicle was issued a ticket for parking in a handicap spot. The complainant states that the officer, who issued the ticket, deliberately disregarded the handicap card that was clearly visible in the window. The complainant is having issues with a neighbor and that the officer who issued the ticket is their relative. The complainant believes that the officer gave the ticket out of spite to appease the neighbor.",2021-01-07,00:04:00,9,1900,21-0008,Female,Black,49,10
21-0009,1/12/2021 5:00:00,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-5-21, a police vehicle drove up on the lawn and removed a fence.",2021-01-05,NA,10,0200,21-0009,,,0,11
21-0010,1/12/2021 5:00:00,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-8-21 at 12:30 AM, while in the confines of the 18th District, they were attempting to make a U-Turn, when an officer headed northbound and impeded their ability to make a safe U-Turn. The officer harassed and threatened to write the complainant a ticket.",2021-01-08,00:30:00,11,1800,21-0010,Male,Black,48,12
21-0011,1/12/2021 5:00:00,19,LACK OF SERVICE,"On 1-8-21 at 6:37 PM, while in the confines of the 19th District, the complainant called 911 twice because a neighbor was listening to music so loud that it rumbled throughout the entire building. The complainant states that no officers responded to the 911 calls.",2021-01-08,18:37:00,12,1900,21-0011,Male,Asian,37,13
21-0012,1/25/2021 5:00:00,19,LACK OF SERVICE,"The complainant alleges that on various dates and times, they did not receive proper service from an unknown officer(s), which resulted in being issued a stay away order from a judge in court.",NA,NA,13,1900,21-0012,Female,Black,,14
21-0013,1/12/2021 5:00:00,16,LACK OF SERVICE,"On 8-27-20 at 8:01 AM, while in the confines of the 16th District, they did not receive proper service from an officer assigned to the Accident Investigation Division. The complainant states that a family member was the victim of a fatal auto-pedestrian accident. The complainant states that since the beginning of the investigation, the officer has given them false information about the case. The complainant also states that the officer allowed the operator of the striking vehicle to be released from jail and not follow through with the prosecution.",2020-08-27,08:01:00,14,1600,21-0013,Male,Black,57,15
21-0014,1/14/2021 5:00:00,22,PHYSICAL ABUSE,"The complainant was stopped by police on 1-12-21 at 12:00 AM, while attempting to turn down a do not enter street. The officers proceeded to get very aggressive with the complainant who was grabbed out of their vehicle and handcuffed. The complainant and vehicle were searched without permission. The complainant alleged departmental policies were violated by the Officers as an excuse to make an arrest. The complainant further states that the officers were informed that the vehicleâs windows and locks did not work but they insisted on locking the vehicle. The complainant had to call a locksmith to come out to unlock doors.",2021-01-12,00:00:00,15,2200,21-0014,Male,Black,32,16
21-0015,1/14/2021 5:00:00,35,CIVIL RIGHTS COMPLAINT,"According to the complainants, on 1-8-21 at 10:53 AM, they were discriminated against, did not receive proper service and departmental policies were violated by an officer while in the confines of the 35th District. The complainants were involved in an auto accident. The complainants state that the responding officer leaned towards the side of the other party involved in the auto accident because of their transgender identity. The complainants also state that they were injured in the accident and that the officer failed to ask them provide them with medical assistance.",2021-01-08,10:53:00,16,3500,21-0015,Female,Black,30,17
21-0016,1/14/2021 5:00:00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-7-21 at 4:30 PM, while in the confines of the 26th District, an officer inaccurately completed police documents. The complainant states that they were involved in an auto accident. The officer arrived and was not concerned if anyone was injured. The officer was more concerned if the complainantâs vehicle was a stolen vehicle and if they had any warrants. The complainant states that the officer issued them false citations stating that they were driving the wrong way, was in the wrong lane and listed the wrong location.",2021-01-07,16:30:00,17,2600,21-0016,Male,Black,36,19
21-0017,1/15/2021 5:00:00,2,LACK OF SERVICE,"According to the complainant, on 1-11-21 at 6:35 PM, they did not receive proper service from an officer while in the confines of the 2nd District. The complainant called 911 to investigate a person with a weapon. The officer arrived and failed to take police action. The complainant states that the person with the weapon should have been arrested. The complainant states that the officer made the job a meet complainant.",2021-01-11,18:35:00,18,0200,21-0017,Male,Black,59,20
21-0018,1/14/2021 5:00:00,35,PHYSICAL ABUSE,"The complainant was pulled over on 1-7-21 at 9:10 PM by police. Officers yanked the complainant out of the vehicle and was then handcuffed. The complainant states that the officers yelled several commands, but the complainant did not understand them.",2021-01-07,21:10:00,19,3500,21-0018,Male,Asian,35,21
21-0019,1/15/2021 5:00:00,2,DEPARTMENTAL VIOLATIONS,"On 1-3-21 at 2:46 PM, he was harassed via social media and departmental policies were violated by an off-duty sergeant assigned to the 2nd District. The sergeant has written negative reviews, used profanity and intimidated the complainant using titles of books that deal with race which are carried at the complainantâs establishment",2021-01-03,14:46:00,20,0200,21-0019,Male,,,22
21-0020,1/15/2021 5:00:00,8,VERBAL ABUSE,"On 1-7-21 at 6:50 AM, while driving in the confines of the 8th District, they noticed a vehicle flash their high beams at the complainant. The vehicle later activated its lights. Recognizing that it was a police vehicle, the complainant attempted to pull over but the officers vehicle blocked them from doing so. The officer screamed and cursed at the complainant through their window. When the complainant stopped and opened their door, the officer continued to scream and curse. When the officer exited their vehicle, they leaned into the complainants vehicle screaming and cursing. The complainant states the officer did not allow them to speak and later issued a citation for reckless driving.",2021-01-07,06:50:00,21,0800,21-0020,Male,Black,,23
21-0021,1/19/2021 5:00:00,25,LACK OF SERVICE,"According to the complainant, on an unknown date and time, while in the confines of the 25th District, they were assaulted by a person. The complainant states they ran towards police for help but the officers laughed and did nothing. The complainant went home and called 911. The officers responded, but failed to document the assault.",NA,NA,22,2500,21-0021,Male,Black,41,24
21-0022,1/19/2021 5:00:00,NA,HARASSMENT,"According to the complainant, on a daily basis, they are stalked, targeted, harassed, and intimidated right outside of their home by both uniformed and plain clothed officers while in the confines of the 9th District. The complainant also states that they have been profiled and believes that they are being targeted by some sort of mass video surveillance.",NA,NA,23,NA,21-0022,Male,Black,55,25
21-0023,1/20/2021 5:00:00,19,HARASSMENT,"According to the complainant, on 1-17-21 at 11:21 AM, after being involved in an altercation with another tenant in their building, they noticed several disturbing text messages from the landlord, who is a police officer. One of the text messages read, âIâm going to fight my tenant after the dentist.â The complainant also states that the officer has threatened the complainant with eviction multiple times.",2021-01-17,11:21:00,24,1900,21-0023,Female,Black,35,26
21-0024,1/20/2021 5:00:00,16,LACK OF SERVICE,"According to the complainant, on 12-26-20 at 9:15 PM, they were stopped at a red light, when another vehicle struck them from behind. When officers arrived, they did not take the complainantâs statement and accused them of reckless driving. The complainant later found that the report was inaccurate. The complainants attorney will not handle the complainants case unless the report is corrected.",2020-12-26,21:15:00,25,1600,21-0024,Female,Black,60,27
21-0025,1/20/2021 5:00:00,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-12-21 at 5:00 PM, while in the confines of the 2nd District, they where improperly stopped and detained by a 2nd District Officer. While they pumped gas into their dirt bike, they were approached by an officer. The officer told them that the dirt bike was illegal in the City of Philadelphia. They told the officer that they were not doing anything wrong, in fact, they pushed the dirt bike to the gas station. The officer demanded their identification and detained them. The officer threatened to taze them if they did not comply. The complainant states that they were issued a citation and their dirt bike was impounded.",2021-01-12,17:00:00,26,0200,21-0025,Male,,,28
21-0026,1/20/2021 5:00:00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on an unknown date and time, they witnessed three officers not wearing facemasks while on duty. The complainant states that one of the officers had previously had a mask on but ripped it off in response to the complainants remarks.",NA,NA,27,0900,21-0026,,,,29
21-0027,1/20/2021 5:00:00,15,VERBAL ABUSE,"According to the complainant, on 1-8-21 at 10:20 AM, they were verbally abused by an officer while in the confines of the 15th District. The complainant noticed the officer getting ready to ticket the vehicle. The complainant approached the officer and said, âDonât you see my tag?â The officer said, âI donât give a f*ck. You should have parked up the street and walked your lazy *ss down the street. You need to walk.â The complainant states that they then witnessed the officer use profanity towards other pedestrians in the area.",2021-01-08,10:20:00,28,1500,21-0027,Female,Black,57,30
21-0028,1/20/2021 5:00:00,15,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-15-21 at 3:50 PM, while in the confines of the 15th District, they were improperly detained and did not receive proper service from a 15th District Officer. They were involved in a disturbance with their neighbor. Officers arrived and detained the complainant, but failed to detain the neighbor. The complainant states that the officer failed to properly investigate the incident.",2021-01-15,15:50:00,29,1500,21-0028,Male,Black,58,31
21-0029,1/22/2021 5:00:00,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-21-21 at 11:35 AM, they were improperly stopped by officers while in the confines of the 18th District. The complainant states an officer told them that they were driving careless and disregarded the safety of person and property. The complainant states that is not the truth.",2021-01-21,11:35:00,30,1800,21-0029,Male,Black,67,32
21-0030,1/22/2021 5:00:00,12,FALSIFICATION,"A complaint of false reports related to several domestic incidents was made against an off-duty officer assigned to the 12th District. The complainant states that there is a court order in effect where she must pick up her child at the 12th District. The complainant alleges that the officer, who is the other parent of the child, has made a false report of assault against them.",NA,NA,31,1200,21-0030,Female,Black,36,33
21-0031,1/25/2021 5:00:00,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, a 2nd District officer violated departmental policies while in the confines of the 2nd District. On 1-24-21 at 5:37 PM, they were stopped by police. The officer approached their vehicle without a face covering and no regard for social distancing.",2021-01-24,17:37:00,32,0200,21-0031,Male,Latino,,34
21-0032,1/27/2021 5:00:00,9,HARASSMENT,"According to the complainant, they were harassed by an officer while in the confines of the 9th District. On 1-21-21 at 3:00 PM, the officer used a speaker to yell names at them. The officer yelled names of family members, yelled child molester and also yelled child pornography. The complainant states that the officer is related to an ex-family member. The complainant states that the officer has been harassing them by communication for years.",2021-01-21,15:00:00,33,0900,21-0032,Female,White,,35
21-0033,2/2/2021 5:00:00,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, 35th District officers and a supervisor violated departmental policies while in the confines of the 35th District. On 1-25-21 at 8:00 PM, they witnessed an officer conduct a vehicle investigation. The officer was not wearing a face covering, failed to use a turn signal and made an illegal U-turn. The complainant went to the 35th District to file a complaint. At that time, they noticed an officer and a supervisor not wearing a face mask.",2021-01-25,20:00:00,34,3500,21-0033,Male,White,29,36
21-0034,1/27/2021 5:00:00,39,DOMESTIC,"The complainant is alleging a domestic assault by an off-duty, 39th District Officer, while in the confines of the 14th District. On 1-24-21 at 6:00 AM, they went to a residence to meet with the officer, as the officer requested. When they arrived, there were several other people on location and the officer acted surprised to see them. The complainant states that they became angry and pushed the officerâs face. At that time, the officer punched the complainant, slammed them to the ground and proceeded to kick them. The officerâs friend picked the complainant up and threw them outside. The complainant states that they sustained injuries to their leg, lip and head, as well as a mild concussion. The complainant further stated that this is not the first time that they were assaulted by the officer.",2021-01-24,06:00:00,35,3900,21-0034,Female,Black,35,37
