district,complaints,population,cat_departmental_violations,cat_lack_of_service,cat_other,cat_physical_abuse,cat_unprofessional_conduct,cat_verbal_abuse,race_black,race_latino,race_other,race_unknown,race_white,per_50k
24,0,68374,0,0,0,0,0,0,0,0,0,0,0,0
14,0,111436,0,0,0,0,0,0,0,0,0,0,0,0
15,0,138626,0,0,0,0,0,0,0,0,0,0,0,0
19,0,87703,0,0,0,0,0,0,0,0,0,0,0,0
1,29,36334,4,7,2,3,4,9,12,1,2,6,8,39.91
5,0,43446,0,0,0,0,0,0,0,0,0,0,0,0
39,0,60951,0,0,0,0,0,0,0,0,0,0,0,0
35,0,99899,0,0,0,0,0,0,0,0,0,0,0,0
8,0,98168,0,0,0,0,0,0,0,0,0,0,0,0
2,0,113310,0,0,0,0,0,0,0,0,0,0,0,0
25,0,66997,0,0,0,0,0,0,0,0,0,0,0,0
7,0,96822,0,0,0,0,0,0,0,0,0,0,0,0
22,0,77868,0,0,0,0,0,0,0,0,0,0,0,0
26,0,56446,0,0,0,0,0,0,0,0,0,0,0,0
9,0,114720,0,0,0,0,0,0,0,0,0,0,0,0
12,0,71526,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
18,0,80477,0,0,0,0,0,0,0,0,0,0,0,0
16,0,39711,0,0,0,0,0,0,0,0,0,0,0,0
3,0,91318,0,0,0,0,0,0,0,0,0,0,0,0
17,0,49665,0,0,0,0,0,0,0,0,0,0,0,0
