"","OBJECTID_1","AGE","RACE","SEX","TYPE","DATE_","UNIT","ACTION","STATUS","LONG_","LAT"
"1",8,44,"Hispanic","Female","PHYSICAL ABUSE",1.310688e+12,"UNKNOWN","Accept","Open",-75.128599,40.001902
"2",50,48,"Hispanic","Male","ABUSE OF AUTHORITY",1278460800000,"District 12","REJECT","Closed",-75.139298,39.973769
"3",95,48,"Hispanic","Female","ABUSE OF AUTHORITY",1.24416e+12,"District 15","REJECT","Closed",-75.059636,40.024926
"4",107,35,"Hispanic","Male","VERBAL ABUSE",1279238400000,"District 15","ACCEPT","Open",-75.027466,40.03329
"5",211,59,"Hispanic","Female","ABUSE OF AUTHORITY",1.283904e+12,"District 19","REJECT","Closed",-75.263791,39.972111
"6",278,46,"Hispanic","Female","ABUSE OF AUTHORITY",1231891200000,"District 24","ACCEPT","Open",-75.152736,39.95501
"7",280,28,"Hispanic","Female","PHYSICAL ABUSE",1.235088e+12,"District 24","REJECT","Closed",-75.104311,39.999255
"8",282,42,"Hispanic","Female","PHYSICAL ABUSE",1.247184e+12,"District 24","REJECT","Closed",-75.108724,39.999034
"9",290,26,"Hispanic","Female","PHYSICAL ABUSE",1273622400000,"District 24","ACCEPT","Closed",-75.124541,39.995309
"10",291,36,"Hispanic","Male","PHYSICAL ABUSE",1273622400000,"District 24","ACCEPT","Closed",-75.124541,39.995309
"11",295,21,"Hispanic","Male","ABUSE OF AUTHORITY",1320105600000,"District 24","Reject","Closed",-75.122451,40.008694
"12",297,32,"Hispanic","Male","ABUSE OF AUTHORITY",1338422400000,"District 24","ACCEPT","OPEN",-75.112162,40.012086
"13",298,26,"Hispanic","Male","ABUSE OF AUTHORITY",1339372800000,"District 24","ACCEPT","OPEN",-75.118061,39.993416
"14",302,52,"Hispanic","Female","ABUSE OF AUTHORITY",1240444800000,"District 25","AUDIT","Closed",-75.12194,39.997639
"15",305,0,"Hispanic","Male","ABUSE OF AUTHORITY",1245283200000,"District 25","REJECT","Closed",-75.138793,39.995913
"16",306,47,"Hispanic","Female","ABUSE OF AUTHORITY",1245628800000,"District 25","AUDIT","Closed",-75.147676,39.997802
"17",312,42,"Hispanic","Male","ABUSE OF AUTHORITY",1266537600000,"District 25","ACCEPT","Closed",-75.138182,40.001329
"18",314,0,"Hispanic","Male","PHYSICAL ABUSE",1281657600000,"District 25","REJECT","Closed",-75.137852,39.991996
"19",316,28,"Hispanic","Male","PHYSICAL ABUSE",1286409600000,"District 25","ACCEPT","Open",-75.099302,39.992187
"20",317,34,"Hispanic","Male","PHYSICAL ABUSE",1.288224e+12,"District 25","ACCEPT","Open",-75.131335,39.994154
"21",318,36,"Hispanic","Male","ABUSE OF AUTHORITY",1290988800000,"District 25","AUDIT","Closed",-75.121128,39.998042
"22",319,27,"Hispanic","Male","PHYSICAL ABUSE",1295395200000,"District 25","ACCEPT","Open",-75.137518,40.02113
"23",321,30,"Hispanic","Female","PHYSICAL ABUSE",1.299024e+12,"District 25","Accept",NA,-75.143217,40.003474
"24",322,48,"Hispanic","Female","ABUSE OF AUTHORITY",1303257600000,"District 25","Audit","Closed",-75.125229,40.001734
"25",326,66,"Hispanic","Female","PHYSICAL ABUSE",1322524800000,"District 25","Accept","Open",-75.131206,39.994248
"26",329,19,"Hispanic","Male","PHYSICAL ABUSE",1.332288e+12,"District 25","ACCEPT","CLOSED",-75.143513,39.989835
"27",330,35,"Hispanic","Female","VERBAL ABUSE",1339977600000,"District 25","REJECT","Closed",-75.161227,39.953128
"28",336,20,"Hispanic","Female","PHYSICAL ABUSE",1236556800000,"District 26","ACCEPT","Open",-75.143045,39.934285
"29",338,19,"Hispanic","Male","PHYSICAL ABUSE",1240876800000,"District 26","ACCEPT","Open",-75.136508,39.98997
"30",339,25,"Hispanic","Male","ABUSE OF AUTHORITY",1242086400000,"District 26","ACCEPT","Open",-75.124591,39.97792
"31",348,27,"Hispanic","Male","ABUSE OF AUTHORITY",1.290384e+12,"District 26","REJECT","Closed",-75.14353,39.97687
"32",349,23,"Hispanic","Male","NOT CLASSIFIED",1294790400000,"District 26",NA,NA,-75.129643,39.987547
"33",351,23,"Hispanic","Female","ABUSE OF AUTHORITY",1.299888e+12,"District 26","Reject","Closed",-75.141794,39.988167
"34",352,38,"Hispanic","Male","PHYSICAL ABUSE",1300060800000,"District 26","Accept","Closed",-75.141794,39.988167
"35",417,29,"Hispanic","Female","VERBAL ABUSE",1242259200000,"District 6","REJECT","Closed",-75.156499,39.953532
"36",437,35,"Hispanic","Male","ABUSE OF AUTHORITY",1235347200000,"District 9","AUDIT","Closed",-75.168326,39.925127
"37",449,48,"Hispanic","Female","ABUSE OF AUTHORITY",1279670400000,"District 9","REJECT","Closed",-75.168009,39.962508
