"","OBJECTID_1","AGE","RACE","SEX","TYPE","DATE_","UNIT","ACTION","STATUS","LONG_","LAT"
"1",12,56,"White","Female","ABUSE OF AUTHORITY",1348531200000,"UNKNOWN","AUDIT","Open",-75.0437,40.084558
"2",14,19,"White","Male","ABUSE OF AUTHORITY",1.241568e+12,"District 1","REJECT","Closed",-75.172287,39.914297
"3",15,30,"White","Female","ABUSE OF AUTHORITY",1.243296e+12,"District 1","AUDIT","Closed",-75.179078,39.921601
"4",17,30,"White","Male","LACK OF SERVICE",1243814400000,"District 1","AUDIT","Closed",-75.183298,39.924889
"5",18,47,"White","Female","ABUSE OF AUTHORITY",1246838400000,"District 1","REJECT","Closed",-75.178977,39.928477
"6",23,48,"White","Female","ABUSE OF AUTHORITY",1277251200000,"District 1","WITHDRAWN","Closed",-75.186081,39.918659
"7",27,53,"White","Female","PHYSICAL ABUSE",1315785600000,"District 1","Reject","Closed",-75.166582,39.907111
"8",28,46,"White","Male","ABUSE OF AUTHORITY",1342051200000,"District 1","AUDIT","OPEN",-75.173758,39.921104
"9",91,28,"White","Male","PHYSICAL ABUSE",1236124800000,"District 15","ACCEPT","Open",-75.048833,40.037713
"10",92,24,"White","Female","PHYSICAL ABUSE",1236556800000,"District 15","ACCEPT","Open",-75.038375,40.03762
"11",93,48,"White","Female","ABUSE OF AUTHORITY",1238457600000,"District 15","REJECT","Closed",-75.042528,40.023262
"12",101,45,"White","Female","PHYSICAL ABUSE",1272412800000,"District 15","ACCEPT","Open",-75.070917,40.012443
"13",106,57,"White","Male","ABUSE OF AUTHORITY",1275955200000,"District 15","REJECT","Closed",-75.046213,40.031505
"14",109,58,"White","Female","ABUSE OF AUTHORITY",1.281312e+12,"District 15","NAR","Closed",-75.031103,40.034381
"15",110,50,"White","Male","PHYSICAL ABUSE",1281571200000,"District 15","ACCEPT","Open",-75.079855,39.996794
"16",116,21,"White","Male","PHYSICAL ABUSE",1288742400000,"District 15","ACCEPT","Closed",-75.06319,40.031568
"17",119,33,"White","Male","ABUSE OF AUTHORITY",1297036800000,"District 15","REJECT","Closed",-75.077282,40.00749
"18",121,52,"White","Female","PHYSICAL ABUSE",1307318400000,"District 15","Reject","Closed",-75.055873,40.020831
"19",131,44,"White","Female","LACK OF SERVICE",1245628800000,"District 16","REJECT","Closed",-75.220951,39.967554
"20",135,48,"White","Female","NO MISCONDUCT",1254355200000,"District 16","REJECT","Closed",-75.183335,39.95482
"21",141,18,"White","Female","ABUSE OF AUTHORITY",1345507200000,"District 16","ACCEPT","Open",-75.205879,39.977057
"22",160,24,"White","Male","ABUSE OF AUTHORITY",1315267200000,"District 17","Accept","Closed",-75.175845,39.941222
"23",167,55,"White","Male","PHYSICAL ABUSE",1242604800000,"District 18","ACCEPT","Open",-75.199623,39.956862
"24",177,31,"White","Male","ABUSE OF AUTHORITY",1268179200000,"District 18","NAR","Closed",-75.214919,39.949747
"25",179,31,"White","Male","ABUSE OF AUTHORITY",1.2852e+12,"District 18","NAR","Closed",-75.209838,39.956345
"26",228,35,"White","Female","ABUSE OF AUTHORITY",1243468800000,"District 2","ACCEPT","Open",-75.111163,40.035618
"27",231,46,"White","Female","ABUSE OF AUTHORITY",1276214400000,"District 2","ACCEPT","Closed",-75.078444,40.070457
"28",235,56,"White","Male","PHYSICAL ABUSE",1.31544e+12,"District 2","Audit","Open",-75.087613,40.049029
"29",284,61,"White","Male","ABUSE OF AUTHORITY",1256601600000,"District 24","REJECT","Closed",-75.109372,40.005393
